Area_m2,Probability_P(A_L_greater_than_Area)
792,0.8383761162163488
793,0.8379828655055431
794,0.8375895502838607
795,0.8371961718264642
796,0.8368027314039349
797,0.8364092302822779
798,0.8360156697229362
799,0.8356220509827946
800,0.8352283753141904
801,0.834834643964922
802,0.8344408581782563
803,0.8340470191929399
804,0.833653128243204
805,0.8332591865587768
806,0.8328651953648919
807,0.8324711558822918
808,0.8320770693272459
809,0.8316829369115525
810,0.831288759842549
811,0.8308945393231231
812,0.8305002765517204
813,0.8301059727223511
814,0.8297116290246052
815,0.829317246643655
816,0.8289228267602672
817,0.8285283705508136
818,0.8281338791872769
819,0.8277393538372633
820,0.827344795664008
821,0.8269502058263893
822,0.826555585478933
823,0.8261609357718256
824,0.8257662578509207
825,0.8253715528577501
826,0.8249768219295339
827,0.8245820661991878
828,0.8241872867953346
829,0.8237924848423106
830,0.8233976614601803
831,0.823002817764742
832,0.8226079548675365
833,0.8222130738758608
834,0.8218181758927743
835,0.8214232620171092
836,0.8210283333434825
837,0.8206333909622996
838,0.8202384359597725
839,0.8198434694179214
840,0.8194484924145906
841,0.8190535060234545
842,0.818658511314028
843,0.8182635093516775
844,0.81786850119763
845,0.8174734879089822
846,0.8170784705387123
847,0.816683450135687
848,0.8162884277446734
849,0.8158934044063483
850,0.815498381157308
851,0.8151033590300786
852,0.8147083390531243
853,0.8143133222508613
854,0.8139183096436602
855,0.8135233022478661
856,0.8131283010757997
857,0.8127333071357716
858,0.8123383214320902
859,0.8119433449650746
860,0.8115483787310619
861,0.8111534237224183
862,0.8107584809275481
863,0.8103635513309042
864,0.8099686359130002
865,0.8095737356504182
866,0.8091788515158155
867,0.8087839844779439
868,0.8083891355016493
869,0.8079943055478886
870,0.807599495573739
871,0.807204706532404
872,0.8068099393732281
873,0.8064151950417047
874,0.8060204744794847
875,0.8056257786243908
876,0.8052311084104233
877,0.8048364647677714
878,0.8044418486228262
879,0.8040472608981867
880,0.8036527025126698
881,0.8032581743813251
882,0.8028636774154406
883,0.8024692125225544
884,0.8020747806064618
885,0.8016803825672325
886,0.8012860193012146
887,0.8008916917010438
888,0.8004974006556598
889,0.8001031470503093
890,0.7997089317665618
891,0.7993147556823134
892,0.7989206196718053
893,0.7985265246056266
894,0.7981324713507281
895,0.797738460770429
896,0.7973444937244318
897,0.7969505710688274
898,0.7965566936561104
899,0.7961628623351821
900,0.7957690779513676
901,0.7953753413464226
902,0.7949816533585412
903,0.7945880148223732
904,0.7941944265690253
905,0.7938008894260747
906,0.7934074042175829
907,0.7930139717640996
908,0.7926205928826766
909,0.7922272683868767
910,0.7918339990867832
911,0.7914407857890091
912,0.7910476292967105
913,0.7906545304095934
914,0.7902614899239233
915,0.7898685086325385
916,0.7894755873248558
917,0.7890827267868844
918,0.7886899278012325
919,0.7882971911471189
920,0.7879045176003844
921,0.7875119079334987
922,0.7871193629155695
923,0.7867268833123582
924,0.7863344698862832
925,0.7859421233964345
926,0.7855498445985799
927,0.7851576342451767
928,0.7847654930853829
929,0.7843734218650642
930,0.7839814213268047
931,0.7835894922099187
932,0.7831976352504567
933,0.7828058511812196
934,0.7824141407317625
935,0.7820225046284125
936,0.7816309435942711
937,0.7812394583492287
938,0.7808480496099716
939,0.780456718089991
940,0.7800654644995979
